method,dimension,metric,trial,time_ms,status,note
haar_qr,256,setup_ms,0,1.067008,ok,
haar_qr,256,apply_ms,0,0.012256,ok,
haar_qr,256,end_to_end_ms,0,1.079264,ok,
haar_qr,256,setup_ms,1,1.125312,ok,
haar_qr,256,apply_ms,1,0.019296,ok,
haar_qr,256,end_to_end_ms,1,1.144608,ok,
haar_qr,256,setup_ms,2,1.113824,ok,
haar_qr,256,apply_ms,2,0.012288,ok,
haar_qr,256,end_to_end_ms,2,1.126112,ok,
haar_qr,256,setup_ms,3,1.099776,ok,
haar_qr,256,apply_ms,3,0.020064,ok,
haar_qr,256,end_to_end_ms,3,1.119840,ok,
haar_qr,256,setup_ms,4,1.140384,ok,
haar_qr,256,apply_ms,4,0.011264,ok,
haar_qr,256,end_to_end_ms,4,1.151648,ok,
haar_qr,256,setup_ms,5,1.129184,ok,
haar_qr,256,apply_ms,5,0.011264,ok,
haar_qr,256,end_to_end_ms,5,1.140448,ok,
haar_qr,256,setup_ms,6,1.228800,ok,
haar_qr,256,apply_ms,6,0.020064,ok,
haar_qr,256,end_to_end_ms,6,1.248864,ok,
haar_qr,256,setup_ms,7,1.110016,ok,
haar_qr,256,apply_ms,7,0.011264,ok,
haar_qr,256,end_to_end_ms,7,1.121280,ok,
reflector_chain,256,setup_ms,0,0.019456,ok,
reflector_chain,256,apply_ms,0,0.231424,ok,
reflector_chain,256,end_to_end_ms,0,0.250880,ok,
reflector_chain,256,setup_ms,1,0.018592,ok,
reflector_chain,256,apply_ms,1,0.231232,ok,
reflector_chain,256,end_to_end_ms,1,0.249824,ok,
reflector_chain,256,setup_ms,2,0.019392,ok,
reflector_chain,256,apply_ms,2,0.231424,ok,
reflector_chain,256,end_to_end_ms,2,0.250816,ok,
reflector_chain,256,setup_ms,3,0.017408,ok,
reflector_chain,256,apply_ms,3,0.230400,ok,
reflector_chain,256,end_to_end_ms,3,0.247808,ok,
reflector_chain,256,setup_ms,4,0.017248,ok,
reflector_chain,256,apply_ms,4,0.231072,ok,
reflector_chain,256,end_to_end_ms,4,0.248320,ok,
reflector_chain,256,setup_ms,5,0.034752,ok,
reflector_chain,256,apply_ms,5,0.231424,ok,
reflector_chain,256,end_to_end_ms,5,0.266176,ok,
reflector_chain,256,setup_ms,6,0.025408,ok,
reflector_chain,256,apply_ms,6,0.224256,ok,
reflector_chain,256,end_to_end_ms,6,0.249664,ok,
reflector_chain,256,setup_ms,7,0.017376,ok,
reflector_chain,256,apply_ms,7,0.231424,ok,
reflector_chain,256,end_to_end_ms,7,0.248800,ok,
reflector_chain,256,setup_ms,8,0.025152,ok,
reflector_chain,256,apply_ms,8,0.225248,ok,
reflector_chain,256,end_to_end_ms,8,0.250400,ok,
reflector_chain,256,setup_ms,9,0.017056,ok,
reflector_chain,256,apply_ms,9,0.231424,ok,
reflector_chain,256,end_to_end_ms,9,0.248480,ok,
reflector_chain,256,setup_ms,10,0.016384,ok,
reflector_chain,256,apply_ms,10,0.231296,ok,
reflector_chain,256,end_to_end_ms,10,0.247680,ok,
reflector_chain,256,setup_ms,11,0.017408,ok,
reflector_chain,256,apply_ms,11,0.231104,ok,
reflector_chain,256,end_to_end_ms,11,0.248512,ok,
reflector_chain,256,setup_ms,12,0.017408,ok,
reflector_chain,256,apply_ms,12,0.232192,ok,
reflector_chain,256,end_to_end_ms,12,0.249600,ok,
reflector_chain,256,setup_ms,13,0.017408,ok,
reflector_chain,256,apply_ms,13,0.224256,ok,
reflector_chain,256,end_to_end_ms,13,0.241664,ok,
rht,256,setup_ms,0,0.004096,ok,
rht,256,apply_ms,0,0.029248,ok,
rht,256,end_to_end_ms,0,0.033344,ok,
rht,256,setup_ms,1,0.031744,ok,
rht,256,apply_ms,1,0.047104,ok,
rht,256,end_to_end_ms,1,0.078848,ok,
rht,256,setup_ms,2,0.010240,ok,
rht,256,apply_ms,2,0.028288,ok,
rht,256,end_to_end_ms,2,0.038528,ok,
rht,256,setup_ms,3,0.010240,ok,
rht,256,apply_ms,3,0.014080,ok,
rht,256,end_to_end_ms,3,0.024320,ok,
rht,256,setup_ms,4,0.010240,ok,
rht,256,apply_ms,4,0.058368,ok,
rht,256,end_to_end_ms,4,0.068608,ok,
rht,256,setup_ms,5,0.029280,ok,
rht,256,apply_ms,5,0.045056,ok,
rht,256,end_to_end_ms,5,0.074336,ok,
rht,256,setup_ms,6,0.010240,ok,
rht,256,apply_ms,6,0.036992,ok,
rht,256,end_to_end_ms,6,0.047232,ok,
rht,256,setup_ms,7,0.009888,ok,
rht,256,apply_ms,7,0.051200,ok,
rht,256,end_to_end_ms,7,0.061088,ok,
rht,256,setup_ms,8,0.010240,ok,
rht,256,apply_ms,8,0.028672,ok,
rht,256,end_to_end_ms,8,0.038912,ok,
rht,256,setup_ms,9,0.010080,ok,
rht,256,apply_ms,9,0.041632,ok,
rht,256,end_to_end_ms,9,0.051712,ok,
rht,256,setup_ms,10,0.003712,ok,
rht,256,apply_ms,10,0.028672,ok,
rht,256,end_to_end_ms,10,0.032384,ok,
rht,256,setup_ms,11,0.003808,ok,
rht,256,apply_ms,11,0.029696,ok,
rht,256,end_to_end_ms,11,0.033504,ok,
rht,256,setup_ms,12,0.043008,ok,
rht,256,apply_ms,12,0.041984,ok,
rht,256,end_to_end_ms,12,0.084992,ok,
rht,256,setup_ms,13,0.025568,ok,
rht,256,apply_ms,13,0.029440,ok,
rht,256,end_to_end_ms,13,0.055008,ok,
rht,256,setup_ms,14,0.034816,ok,
rht,256,apply_ms,14,0.047104,ok,
rht,256,end_to_end_ms,14,0.081920,ok,
rht,256,setup_ms,15,0.010240,ok,
rht,256,apply_ms,15,0.028672,ok,
rht,256,end_to_end_ms,15,0.038912,ok,
rht,256,setup_ms,16,0.003936,ok,
rht,256,apply_ms,16,0.028320,ok,
rht,256,end_to_end_ms,16,0.032256,ok,
rht,256,setup_ms,17,0.039936,ok,
rht,256,apply_ms,17,0.040960,ok,
rht,256,end_to_end_ms,17,0.080896,ok,
haar_qr,512,setup_ms,0,2.482784,ok,
haar_qr,512,apply_ms,0,0.026304,ok,
haar_qr,512,end_to_end_ms,0,2.509088,ok,
haar_qr,512,setup_ms,1,2.460672,ok,
haar_qr,512,apply_ms,1,0.020480,ok,
haar_qr,512,end_to_end_ms,1,2.481152,ok,
haar_qr,512,setup_ms,2,2.510848,ok,
haar_qr,512,apply_ms,2,0.020480,ok,
haar_qr,512,end_to_end_ms,2,2.531328,ok,
haar_qr,512,setup_ms,3,2.436000,ok,
haar_qr,512,apply_ms,3,0.011264,ok,
haar_qr,512,end_to_end_ms,3,2.447264,ok,
haar_qr,512,setup_ms,4,2.471360,ok,
haar_qr,512,apply_ms,4,0.012128,ok,
haar_qr,512,end_to_end_ms,4,2.483488,ok,
haar_qr,512,setup_ms,5,2.440032,ok,
haar_qr,512,apply_ms,5,0.011264,ok,
haar_qr,512,end_to_end_ms,5,2.451296,ok,
haar_qr,512,setup_ms,6,2.567168,ok,
haar_qr,512,apply_ms,6,0.012288,ok,
haar_qr,512,end_to_end_ms,6,2.579456,ok,
haar_qr,512,setup_ms,7,2.461696,ok,
haar_qr,512,apply_ms,7,0.011264,ok,
haar_qr,512,end_to_end_ms,7,2.472960,ok,
reflector_chain,512,setup_ms,0,0.021248,ok,
reflector_chain,512,apply_ms,0,0.529024,ok,
reflector_chain,512,end_to_end_ms,0,0.550272,ok,
reflector_chain,512,setup_ms,1,0.021504,ok,
reflector_chain,512,apply_ms,1,0.509664,ok,
reflector_chain,512,end_to_end_ms,1,0.531168,ok,
reflector_chain,512,setup_ms,2,0.014336,ok,
reflector_chain,512,apply_ms,2,0.504672,ok,
reflector_chain,512,end_to_end_ms,2,0.519008,ok,
reflector_chain,512,setup_ms,3,0.021120,ok,
reflector_chain,512,apply_ms,3,0.510528,ok,
reflector_chain,512,end_to_end_ms,3,0.531648,ok,
